OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,YearRemodAdd,FullBath,Neighborhood,LotArea,1stFlrSF,TotRmsAbvGrd,GarageArea,Fireplaces,SalePrice
5,1269.0,3.0,885.0,2001,2008,1.0,MeadowV,2659.0,1028.0,5.0,841.0,0,291171.0
2,2571.0,2.0,1656.0,1898,1950,1.0,StoneBr,12373.0,2216.0,7.0,492.0,0,351025.0
7,1803.0,2.0,1080.0,1985,2010,2.0,CollgCr,9652.0,1141.0,8.0,589.0,0,280188.0
5,1896.0,3.0,1683.0,1876,1950,2.0,BrDale,11873.0,1199.0,5.0,858.0,1,382775.0
4,1026.0,2.0,1169.0,1893,1950,1.0,Timber,4706.0,791.0,8.0,554.0,0,244822.0
3,990.0,2.0,1431.0,1887,1950,1.0,NridgHt,7647.0,725.0,7.0,555.0,0,233425.0
6,1534.0,3.0,1372.0,1970,1987,1.0,BrkSide,5189.0,817.0,6.0,829.0,1,435951.0
7,1606.0,0.0,1330.0,1958,1984,1.0,BrkSide,12995.0,801.0,3.0,0.0,0,371257.0
10,540.0,2.0,1209.0,1938,1969,2.0,Sawyer,4436.0,349.0,6.0,571.0,1,355292.0
5,1420.0,2.0,955.0,1905,1950,1.0,NPkVill,5629.0,1000.0,7.0,508.0,0,367733.0
2,1522.0,3.0,1896.0,1884,1950,3.0,NPkVill,11698.0,780.0,9.0,1159.0,0,305597.0
9,1402.0,3.0,660.0,1951,1989,2.0,CollgCr,6538.0,816.0,7.0,671.0,1,373056.0
7,1088.0,1.0,1059.0,1904,1950,2.0,Blmngtn,5630.0,639.0,8.0,257.0,1,285915.0
8,1232.0,3.0,1064.0,1954,1968,2.0,Mitchel,14092.0,699.0,5.0,779.0,0,320395.0
1,1422.0,1.0,1233.0,1967,1990,1.0,MeadowV,14384.0,935.0,6.0,362.0,1,232728.0
4,1563.0,1.0,869.0,1990,2007,2.0,MeadowV,12849.0,1163.0,8.0,227.0,0,284502.0
8,1833.0,2.0,1195.0,1940,1965,1.0,Timber,13689.0,1245.0,5.0,594.0,0,354400.0
9,2082.0,2.0,983.0,1872,1950,2.0,ClearCr,7976.0,1126.0,8.0,580.0,1,438832.0
5,1360.0,1.0,364.0,1911,1950,2.0,SWISU,8084.0,675.0,8.0,293.0,1,213303.0
9,1276.0,2.0,1061.0,1990,2010,2.0,Veenker,6477.0,1046.0,7.0,659.0,0,346851.0
9,1745.0,2.0,575.0,1946,1950,2.0,Mitchel,9739.0,1162.0,6.0,657.0,0,348265.0
4,1836.0,3.0,297.0,1958,1987,3.0,ClearCr,6878.0,878.0,5.0,786.0,0,348594.0
9,1287.0,1.0,1117.0,1935,1954,1.0,Blueste,7212.0,729.0,9.0,288.0,1,369146.0
3,1930.0,2.0,1271.0,1894,1950,3.0,Blmngtn,12088.0,1567.0,8.0,411.0,1,344849.0
3,2029.0,2.0,1288.0,1996,2010,1.0,Edwards,16192.0,1599.0,7.0,568.0,0,342539.0
7,2193.0,3.0,1305.0,1979,1987,1.0,Crawfor,10929.0,1851.0,6.0,745.0,0,406654.0
7,2449.0,0.0,211.0,2010,2010,1.0,Crawfor,21964.0,1766.0,7.0,0.0,1,417213.0
2,1060.0,1.0,461.0,1990,2010,1.0,NoRidge,6293.0,679.0,7.0,213.0,1,172739.0
9,1522.0,2.0,1921.0,1912,1950,2.0,StoneBr,3572.0,977.0,7.0,592.0,1,398313.0
2,1521.0,1.0,598.0,1907,1950,1.0,Veenker,12801.0,817.0,8.0,212.0,1,171404.0
9,1464.0,2.0,1325.0,1906,1950,2.0,IDOTRR,6088.0,1088.0,5.0,572.0,0,445946.0
1,1174.0,2.0,756.0,1999,2006,2.0,SWISU,7810.0,837.0,4.0,462.0,0,150768.0
8,735.0,1.0,1092.0,1949,1963,1.0,NPkVill,3696.0,382.0,7.0,246.0,1,323829.0
8,1564.0,2.0,780.0,1935,1960,1.0,OldTown,5712.0,1327.0,4.0,652.0,1,450574.0
8,1112.0,2.0,1303.0,2006,2010,1.0,StoneBr,4225.0,685.0,6.0,607.0,0,360607.0
7,1560.0,2.0,1117.0,1955,1984,1.0,SawyerW,7207.0,737.0,6.0,652.0,0,339817.0
5,1098.0,1.0,861.0,1998,2006,3.0,NPkVill,7352.0,656.0,7.0,342.0,1,360198.0
8,938.0,2.0,597.0,2008,2010,2.0,IDOTRR,9367.0,789.0,10.0,498.0,0,375767.0
3,1638.0,2.0,1174.0,1883,1950,1.0,NoRidge,16645.0,1413.0,3.0,680.0,0,204192.0
8,1594.0,0.0,526.0,1922,1950,1.0,ClearCr,12562.0,1069.0,10.0,0.0,1,394230.0
6,1819.0,2.0,1244.0,1974,1996,2.0,NridgHt,3980.0,1601.0,6.0,620.0,0,424535.0
5,2663.0,1.0,2207.0,1985,1989,2.0,IDOTRR,12137.0,2247.0,7.0,260.0,0,452249.0
6,1661.0,3.0,1648.0,1892,1950,1.0,MeadowV,9470.0,1364.0,4.0,728.0,0,406647.0
6,1770.0,2.0,1372.0,1916,1954,2.0,MeadowV,8528.0,1481.0,8.0,609.0,1,350907.0
1,949.0,3.0,1020.0,1948,1980,1.0,Gilbert,8854.0,590.0,7.0,953.0,2,226362.0
2,839.0,1.0,208.0,1983,1989,1.0,BrDale,9920.0,663.0,6.0,317.0,3,180188.0
3,2346.0,1.0,478.0,1887,1950,2.0,Somerst,6336.0,1665.0,3.0,289.0,0,173455.0
2,1030.0,1.0,1619.0,1955,1962,1.0,NridgHt,8175.0,797.0,7.0,285.0,1,241461.0
5,967.0,1.0,711.0,1913,1950,2.0,Veenker,16187.0,513.0,8.0,301.0,1,219620.0
7,1494.0,3.0,751.0,1902,1950,2.0,NoRidge,6298.0,1164.0,6.0,876.0,1,291328.0
7,1468.0,3.0,984.0,1943,1956,1.0,IDOTRR,5351.0,1293.0,8.0,905.0,1,390142.0
5,1041.0,1.0,592.0,1929,1950,2.0,IDOTRR,8683.0,610.0,8.0,288.0,2,316318.0
9,1355.0,1.0,520.0,1960,1967,1.0,Blueste,5088.0,1211.0,5.0,314.0,3,383099.0
6,2160.0,2.0,1035.0,1916,1951,2.0,Gilbert,3784.0,1340.0,9.0,430.0,0,428288.0
1,1092.0,2.0,667.0,1986,2010,1.0,Sawyer,7538.0,590.0,7.0,549.0,2,221699.0
8,783.0,0.0,732.0,1882,1950,3.0,Crawfor,18478.0,392.0,7.0,0.0,0,324414.0
6,2010.0,1.0,715.0,1991,1997,2.0,Veenker,8784.0,1614.0,7.0,291.0,0,264134.0
7,1773.0,2.0,1286.0,1876,1950,1.0,IDOTRR,9792.0,1241.0,7.0,691.0,2,399734.0
6,1189.0,0.0,955.0,1974,2007,0.0,ClearCr,3087.0,699.0,2.0,0.0,0,286986.0
6,684.0,1.0,979.0,1920,1950,1.0,BrDale,11149.0,495.0,6.0,285.0,0,290501.0
1,1124.0,2.0,1318.0,1925,1955,1.0,NPkVill,9383.0,674.0,4.0,621.0,1,246411.0
6,1486.0,2.0,995.0,1874,1950,3.0,BrkSide,6422.0,969.0,9.0,395.0,0,370876.0
8,2127.0,2.0,935.0,1969,2000,2.0,BrkSide,9799.0,1783.0,9.0,518.0,0,465124.0
4,971.0,1.0,1263.0,1895,1950,2.0,OldTown,9750.0,729.0,8.0,295.0,1,317824.0
7,1471.0,2.0,1350.0,1963,1995,1.0,OldTown,5272.0,1167.0,6.0,328.0,0,390178.0
1,1869.0,2.0,993.0,1972,1977,1.0,Crawfor,10572.0,1332.0,5.0,482.0,0,306913.0
4,334.0,1.0,1092.0,1989,2004,2.0,ClearCr,16294.0,334.0,5.0,324.0,1,256768.0
5,2058.0,2.0,715.0,1970,1980,2.0,BrDale,7991.0,1150.0,10.0,640.0,0,371636.0
10,894.0,2.0,680.0,1913,1950,2.0,Mitchel,5803.0,508.0,5.0,590.0,0,293874.0
3,1689.0,3.0,1394.0,1974,1986,1.0,Timber,8194.0,830.0,3.0,946.0,0,282011.0
3,1645.0,2.0,1252.0,1986,2001,2.0,BrDale,13730.0,1150.0,8.0,577.0,2,314707.0
5,2084.0,3.0,1256.0,1916,1950,1.0,Sawyer,4851.0,1513.0,9.0,907.0,1,391576.0
10,1804.0,1.0,1180.0,1889,1950,1.0,Edwards,11959.0,1401.0,9.0,267.0,1,415990.0
9,334.0,1.0,1077.0,1995,2010,0.0,Blmngtn,6380.0,334.0,8.0,285.0,0,355273.0
1,1103.0,2.0,1362.0,1892,1950,2.0,IDOTRR,10107.0,502.0,8.0,509.0,3,254595.0
3,1588.0,2.0,1467.0,1954,1982,2.0,Edwards,6754.0,1166.0,7.0,661.0,2,324923.0
9,1413.0,1.0,1456.0,1904,1950,2.0,NridgHt,6745.0,1271.0,3.0,341.0,0,388149.0
1,1766.0,3.0,1013.0,1889,1950,1.0,NWAmes,19179.0,1029.0,7.0,1006.0,1,215142.0
9,1929.0,2.0,1665.0,1979,1995,1.0,Gilbert,4427.0,1028.0,7.0,527.0,1,517734.0
3,1834.0,2.0,1157.0,1891,1950,1.0,Mitchel,11415.0,1058.0,6.0,484.0,0,297457.0
10,1403.0,2.0,1334.0,1965,1974,2.0,BrDale,21283.0,900.0,6.0,662.0,0,434731.0
3,546.0,2.0,1181.0,1968,1999,2.0,ClearCr,12617.0,334.0,5.0,604.0,1,273807.0
5,1276.0,2.0,1165.0,1880,1950,1.0,NPkVill,4603.0,773.0,5.0,586.0,1,302877.0
7,1734.0,1.0,735.0,1896,1950,2.0,BrDale,4718.0,1278.0,9.0,255.0,0,403065.0
2,943.0,2.0,1364.0,1982,1986,2.0,Sawyer,6150.0,571.0,9.0,594.0,1,253426.0
6,1846.0,2.0,2303.0,1942,1974,1.0,CollgCr,9691.0,1160.0,6.0,473.0,1,353627.0
6,1992.0,2.0,893.0,1888,1950,2.0,Edwards,10026.0,932.0,7.0,611.0,0,341750.0
8,1582.0,1.0,1088.0,2009,2010,1.0,MeadowV,4742.0,1365.0,5.0,335.0,1,385113.0
10,334.0,0.0,862.0,1908,1950,2.0,NWAmes,5788.0,334.0,8.0,0.0,0,219345.0
7,844.0,1.0,843.0,1872,1950,1.0,ClearCr,5969.0,504.0,9.0,308.0,0,277866.0
5,2505.0,2.0,1733.0,2000,2010,1.0,BrkSide,8181.0,1225.0,4.0,449.0,2,438246.0
5,1228.0,2.0,762.0,1874,1950,0.0,NPkVill,24157.0,903.0,7.0,576.0,1,353555.0
5,473.0,3.0,849.0,1948,1961,1.0,Crawfor,5616.0,397.0,7.0,1097.0,1,268223.0
9,2164.0,2.0,362.0,2010,2010,2.0,NPkVill,5495.0,1014.0,7.0,491.0,3,441536.0
4,1522.0,2.0,725.0,1952,1959,2.0,NridgHt,5082.0,784.0,9.0,555.0,0,341485.0
2,2095.0,2.0,309.0,1953,1960,2.0,MeadowV,12305.0,1081.0,10.0,673.0,0,260948.0
4,1660.0,3.0,1334.0,1925,1950,3.0,IDOTRR,8772.0,1197.0,6.0,914.0,1,383309.0
1,1756.0,1.0,2283.0,1889,1950,2.0,Somerst,5721.0,1518.0,8.0,379.0,0,206813.0
2,1706.0,2.0,896.0,1951,1964,1.0,Gilbert,7470.0,1104.0,7.0,501.0,0,324727.0
1,1881.0,1.0,327.0,1996,2010,1.0,Sawyer,6028.0,1137.0,5.0,240.0,1,299129.0
8,2711.0,3.0,1451.0,1884,1950,2.0,Edwards,10383.0,2154.0,7.0,987.0,1,432366.0
8,2025.0,2.0,739.0,1994,2003,1.0,Blmngtn,34276.0,1588.0,8.0,464.0,0,479673.0
7,685.0,1.0,1626.0,1929,1965,1.0,Gilbert,11795.0,384.0,7.0,272.0,0,381984.0
5,1749.0,2.0,933.0,1946,1976,2.0,Timber,8548.0,914.0,5.0,555.0,1,274510.0
8,2114.0,2.0,780.0,1894,1950,2.0,Timber,6422.0,1292.0,6.0,643.0,1,323841.0
2,2146.0,2.0,979.0,1958,1970,1.0,IDOTRR,4575.0,1715.0,6.0,609.0,1,315635.0
10,1291.0,1.0,1389.0,1897,1950,1.0,NoRidge,12924.0,985.0,5.0,298.0,1,303018.0
6,2127.0,1.0,957.0,1909,1950,1.0,NPkVill,12578.0,1594.0,7.0,264.0,0,348869.0
10,2002.0,2.0,839.0,1972,1986,2.0,Blueste,7094.0,1648.0,7.0,657.0,0,490698.0
2,2866.0,2.0,970.0,1879,1950,2.0,Veenker,16427.0,1647.0,8.0,882.0,0,244193.0
5,1121.0,1.0,500.0,1934,1950,3.0,BrkSide,9050.0,676.0,5.0,308.0,0,339530.0
7,1249.0,1.0,1231.0,1954,1971,1.0,ClearCr,13192.0,586.0,6.0,284.0,1,369718.0
5,1354.0,2.0,274.0,1890,1950,1.0,Somerst,10385.0,1139.0,9.0,456.0,1,236772.0
5,1258.0,2.0,862.0,1912,1950,2.0,NPkVill,8196.0,896.0,6.0,509.0,1,357228.0
2,1048.0,2.0,1390.0,1919,1953,1.0,Somerst,5556.0,612.0,7.0,543.0,0,161504.0
4,334.0,2.0,1190.0,1964,1978,1.0,OldTown,8327.0,334.0,6.0,517.0,0,233887.0
3,1287.0,2.0,1316.0,2007,2010,1.0,BrDale,13644.0,998.0,8.0,559.0,1,313039.0
4,1709.0,2.0,1029.0,1988,1997,0.0,ClearCr,6946.0,1345.0,8.0,702.0,1,340972.0
7,1256.0,2.0,1569.0,1898,1950,2.0,Edwards,11158.0,942.0,8.0,660.0,2,396835.0
7,2531.0,2.0,1462.0,1874,1950,1.0,Blueste,5212.0,1371.0,7.0,547.0,1,388966.0
7,1522.0,1.0,1252.0,1879,1950,2.0,OldTown,13227.0,1310.0,5.0,232.0,1,435379.0
4,2193.0,1.0,1463.0,1954,1991,2.0,CollgCr,10472.0,1730.0,10.0,333.0,1,354629.0
10,1652.0,1.0,1386.0,1893,1950,1.0,Blmngtn,4910.0,1232.0,8.0,278.0,0,434157.0
1,1949.0,2.0,865.0,1904,1950,1.0,Gilbert,8006.0,1448.0,6.0,422.0,1,340906.0
4,1662.0,1.0,468.0,1989,2010,0.0,Gilbert,14267.0,1424.0,9.0,308.0,0,310549.0
2,2234.0,2.0,1241.0,1993,2010,1.0,MeadowV,4772.0,1939.0,6.0,642.0,0,319981.0
4,1544.0,1.0,1296.0,1988,1988,2.0,NoRidge,5242.0,1109.0,9.0,183.0,1,220172.0
10,1775.0,1.0,1535.0,1907,1950,1.0,IDOTRR,8649.0,1132.0,9.0,247.0,0,520241.0
4,1707.0,2.0,647.0,1958,1982,2.0,Blueste,26021.0,1048.0,5.0,551.0,2,278539.0
10,1364.0,1.0,660.0,1956,1995,0.0,OldTown,6398.0,1117.0,7.0,309.0,0,351594.0
5,1728.0,1.0,1258.0,1897,1950,1.0,Blmngtn,11472.0,1279.0,8.0,259.0,0,327016.0
7,2688.0,1.0,1026.0,1948,1972,1.0,NridgHt,10199.0,1303.0,11.0,247.0,1,487933.0
5,1373.0,2.0,231.0,1945,1962,2.0,NoRidge,6669.0,706.0,5.0,618.0,0,240772.0
3,1735.0,3.0,1221.0,1927,1962,2.0,NWAmes,9707.0,1484.0,9.0,784.0,0,235695.0
8,2175.0,1.0,246.0,1976,2009,2.0,Sawyer,7159.0,1844.0,7.0,302.0,1,458343.0
10,2114.0,2.0,643.0,1966,2002,2.0,NWAmes,7488.0,1857.0,5.0,471.0,1,322894.0
3,1521.0,3.0,1649.0,1946,1966,1.0,IDOTRR,3902.0,977.0,6.0,678.0,1,338715.0
8,334.0,0.0,1856.0,1972,2003,2.0,Veenker,8847.0,334.0,7.0,0.0,0,299684.0
3,1786.0,3.0,525.0,1978,1992,1.0,OldTown,14038.0,1469.0,5.0,870.0,0,318966.0
8,350.0,4.0,913.0,1950,1968,1.0,StoneBr,9216.0,334.0,7.0,1268.0,0,279726.0
8,2287.0,0.0,1076.0,1909,1950,2.0,Veenker,15448.0,1179.0,8.0,0.0,1,346933.0
5,1604.0,2.0,1837.0,1977,1980,1.0,ClearCr,11970.0,1441.0,7.0,496.0,1,407513.0
8,2040.0,1.0,841.0,1971,1999,2.0,Blueste,8693.0,946.0,6.0,334.0,1,417557.0
3,1041.0,2.0,848.0,2008,2008,2.0,NAmes,6542.0,748.0,6.0,438.0,0,301901.0
1,700.0,1.0,1735.0,1892,1950,2.0,SawyerW,7022.0,520.0,6.0,330.0,0,166426.0
1,1652.0,2.0,893.0,1930,1950,2.0,Mitchel,4293.0,1250.0,7.0,666.0,1,218020.0
5,1497.0,2.0,1373.0,2000,2010,2.0,IDOTRR,7836.0,846.0,8.0,629.0,1,383582.0
10,1257.0,1.0,410.0,1943,1962,2.0,Sawyer,9633.0,974.0,7.0,252.0,0,399273.0
2,1559.0,2.0,982.0,2003,2010,1.0,NridgHt,21114.0,853.0,4.0,495.0,0,319206.0
5,2968.0,2.0,330.0,1873,1950,1.0,Veenker,11663.0,2443.0,6.0,543.0,0,321411.0
8,1953.0,1.0,595.0,1876,1950,2.0,Gilbert,5811.0,1071.0,7.0,228.0,0,400146.0
3,2066.0,1.0,1425.0,1982,2004,2.0,Blmngtn,4360.0,1577.0,8.0,242.0,2,389522.0
8,1958.0,3.0,1035.0,1921,1951,1.0,NAmes,8077.0,1571.0,9.0,917.0,1,470289.0
4,2292.0,1.0,917.0,1944,1966,2.0,Mitchel,13439.0,1226.0,9.0,306.0,2,314069.0
9,1415.0,2.0,729.0,1931,1956,2.0,NoRidge,8020.0,788.0,7.0,476.0,1,313839.0
6,436.0,1.0,960.0,1928,1961,1.0,Blueste,11743.0,349.0,8.0,307.0,0,229467.0
6,1416.0,2.0,1189.0,2002,2010,1.0,MeadowV,8180.0,692.0,4.0,596.0,0,253123.0
2,1941.0,3.0,1488.0,1885,1950,1.0,NAmes,12817.0,1040.0,7.0,1021.0,1,345144.0
5,1006.0,2.0,0.0,1979,2007,2.0,ClearCr,4029.0,659.0,5.0,606.0,0,296177.0
9,1422.0,1.0,693.0,1995,2004,2.0,NWAmes,19972.0,1235.0,6.0,322.0,0,279016.0
1,1152.0,1.0,1127.0,1963,1970,2.0,Veenker,5135.0,810.0,11.0,299.0,1,210219.0
8,2304.0,1.0,1014.0,1926,1957,2.0,MeadowV,13318.0,1439.0,7.0,319.0,0,466327.0
5,1908.0,2.0,1234.0,1894,1950,2.0,Somerst,7816.0,1699.0,5.0,457.0,0,271549.0
8,1857.0,0.0,1174.0,1966,1999,2.0,SawyerW,8451.0,1223.0,7.0,0.0,0,368785.0
7,1841.0,2.0,923.0,1937,1967,2.0,BrDale,7938.0,1188.0,6.0,557.0,1,356583.0
5,1495.0,1.0,826.0,1892,1950,2.0,Blmngtn,10176.0,950.0,5.0,270.0,1,297439.0
4,1619.0,3.0,949.0,1921,1950,2.0,NoRidge,11257.0,956.0,10.0,893.0,1,197784.0
7,893.0,3.0,1560.0,2005,2010,1.0,Gilbert,15202.0,533.0,8.0,916.0,1,434218.0
2,367.0,2.0,736.0,1908,1950,1.0,SawyerW,18106.0,334.0,7.0,591.0,1,175456.0
6,1594.0,2.0,1029.0,1896,1950,2.0,MeadowV,10571.0,747.0,6.0,546.0,0,353411.0
1,1685.0,1.0,1137.0,1966,1972,2.0,Timber,21096.0,1275.0,6.0,251.0,1,244369.0
7,2150.0,2.0,1740.0,1899,1950,2.0,Gilbert,9381.0,1162.0,9.0,648.0,0,457426.0
7,2340.0,1.0,925.0,1999,2004,2.0,Sawyer,15348.0,1458.0,7.0,294.0,2,413507.0
1,2339.0,1.0,1477.0,1991,2007,3.0,Somerst,11096.0,1207.0,2.0,239.0,1,202127.0
8,991.0,2.0,1597.0,2008,2010,2.0,BrkSide,6805.0,692.0,10.0,545.0,0,420726.0
5,1330.0,1.0,1029.0,1998,2008,2.0,BrkSide,9805.0,1035.0,7.0,210.0,1,324096.0
8,1767.0,2.0,965.0,1905,1950,1.0,IDOTRR,11517.0,1077.0,7.0,563.0,0,460618.0
1,2844.0,2.0,913.0,1901,1950,2.0,Blmngtn,8812.0,1489.0,8.0,544.0,0,306176.0
2,2292.0,1.0,945.0,1919,1950,1.0,StoneBr,11009.0,1265.0,7.0,257.0,0,262632.0
5,2103.0,3.0,1431.0,1937,1974,2.0,Timber,13804.0,1721.0,8.0,1030.0,0,280239.0
2,1311.0,1.0,1158.0,1994,2010,2.0,SawyerW,8851.0,748.0,6.0,234.0,0,232349.0
4,1051.0,3.0,1160.0,1973,1986,2.0,NoRidge,2055.0,839.0,5.0,925.0,1,228932.0
7,1929.0,1.0,564.0,1961,2000,2.0,Blmngtn,20726.0,1156.0,7.0,367.0,1,392555.0
2,937.0,2.0,633.0,1994,2010,2.0,NAmes,7717.0,501.0,9.0,646.0,0,227273.0
7,1390.0,1.0,1996.0,1961,1985,0.0,NWAmes,5933.0,1080.0,5.0,279.0,1,257501.0
2,1455.0,2.0,979.0,1924,1950,2.0,CollgCr,5105.0,962.0,5.0,469.0,0,210548.0
2,2351.0,2.0,718.0,1929,1950,2.0,Gilbert,7569.0,1091.0,8.0,451.0,1,346682.0
6,1329.0,3.0,1684.0,1943,1950,3.0,CollgCr,6759.0,1172.0,6.0,791.0,0,376959.0
8,334.0,3.0,1180.0,1884,1950,2.0,Timber,6195.0,334.0,6.0,758.0,1,274843.0
2,1780.0,1.0,1310.0,1975,1982,2.0,BrDale,6367.0,1084.0,6.0,251.0,1,310894.0
3,1148.0,2.0,997.0,1962,1991,2.0,Blmngtn,11671.0,715.0,6.0,534.0,2,286854.0
10,1537.0,1.0,917.0,1973,1975,2.0,Gilbert,24715.0,1030.0,4.0,276.0,1,429982.0
10,1469.0,1.0,983.0,1946,1971,2.0,SWISU,13498.0,1180.0,6.0,299.0,0,277221.0
6,1371.0,1.0,451.0,1980,2010,2.0,NWAmes,15698.0,621.0,7.0,230.0,0,278611.0
5,1930.0,1.0,1018.0,2004,2010,1.0,Sawyer,7415.0,1678.0,7.0,253.0,0,354387.0
4,710.0,2.0,1187.0,1951,1967,1.0,NoRidge,9436.0,526.0,8.0,547.0,1,208739.0
7,1244.0,0.0,1868.0,1933,1950,1.0,StoneBr,11084.0,1092.0,9.0,0.0,0,293486.0
6,1874.0,2.0,1095.0,1886,1950,2.0,Timber,6440.0,1533.0,9.0,707.0,0,236660.0
3,1193.0,3.0,35.0,1980,1980,2.0,OldTown,7238.0,1035.0,8.0,868.0,1,271019.0
1,670.0,3.0,1016.0,1997,2010,1.0,Mitchel,13729.0,483.0,6.0,646.0,0,219830.0
2,1866.0,1.0,2257.0,1969,1995,1.0,Sawyer,15447.0,1140.0,6.0,297.0,0,337803.0
10,2105.0,1.0,1436.0,1992,1999,2.0,NAmes,9262.0,1367.0,7.0,302.0,0,549760.0
5,1491.0,2.0,702.0,1991,2010,2.0,CollgCr,4927.0,1112.0,7.0,550.0,0,275958.0
5,486.0,0.0,1316.0,1982,1989,1.0,BrkSide,7725.0,334.0,8.0,0.0,1,221745.0
5,1886.0,3.0,732.0,1941,1950,1.0,OldTown,4356.0,1470.0,7.0,1051.0,1,336608.0
8,644.0,2.0,464.0,1885,1950,2.0,ClearCr,9298.0,334.0,6.0,474.0,1,326344.0
1,1677.0,3.0,904.0,1872,1950,1.0,CollgCr,10175.0,1381.0,8.0,919.0,0,223032.0
1,1049.0,0.0,1097.0,1900,1950,2.0,Gilbert,7822.0,568.0,9.0,0.0,0,219338.0
3,906.0,2.0,237.0,1931,1967,2.0,Blueste,10106.0,793.0,8.0,608.0,2,235987.0
5,1283.0,2.0,554.0,1975,2010,2.0,SWISU,11031.0,667.0,6.0,697.0,1,229142.0
7,1419.0,2.0,1062.0,1935,1965,2.0,IDOTRR,10183.0,721.0,5.0,605.0,1,354289.0
5,1177.0,1.0,878.0,1875,1950,2.0,NAmes,4911.0,960.0,5.0,258.0,0,283912.0
5,1824.0,2.0,1230.0,1901,1950,3.0,CollgCr,7890.0,1493.0,5.0,648.0,3,314631.0
10,1281.0,2.0,525.0,2008,2010,0.0,NPkVill,10992.0,1002.0,7.0,510.0,1,432103.0
2,2030.0,3.0,1370.0,2009,2010,1.0,MeadowV,19719.0,1791.0,7.0,860.0,1,302932.0
6,1663.0,3.0,539.0,1924,1956,2.0,Blmngtn,7817.0,951.0,4.0,685.0,1,357312.0
6,1149.0,1.0,1777.0,1983,1999,1.0,BrDale,11795.0,944.0,6.0,239.0,0,396947.0
5,1060.0,1.0,305.0,1971,1980,2.0,NAmes,13892.0,645.0,7.0,282.0,0,311183.0
9,650.0,1.0,578.0,2001,2010,2.0,BrDale,8117.0,450.0,5.0,295.0,1,374872.0
3,1668.0,3.0,1240.0,1995,2006,2.0,BrkSide,15902.0,1085.0,7.0,636.0,0,337972.0
10,1329.0,1.0,1786.0,1959,1972,1.0,SWISU,16335.0,602.0,6.0,300.0,0,243910.0
4,334.0,3.0,1195.0,1926,1964,1.0,Mitchel,17858.0,334.0,5.0,742.0,0,217535.0
6,1234.0,2.0,1304.0,1959,1981,1.0,ClearCr,11262.0,970.0,7.0,662.0,1,384234.0
6,1042.0,2.0,1065.0,1916,1950,2.0,Veenker,29146.0,551.0,7.0,532.0,0,260250.0
9,2342.0,2.0,607.0,1920,1950,1.0,Blueste,6584.0,2036.0,5.0,470.0,0,424788.0
